/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=8 updates=732
  upd 465/732  ep_ret~-139.16  pl -0.078  vl 21.272  ent 0.306
  upd 470/732  ep_ret~-239.18  pl +0.034  vl 28.672  ent 0.448
  upd 475/732  ep_ret~-154.30  pl +0.052  vl 65.335  ent 0.550
  upd 480/732  ep_ret~-280.62  pl +0.051  vl 4.142  ent 0.262
  upd 485/732  ep_ret~-182.47  pl -0.097  vl 22.640  ent 0.362
  upd 490/732  ep_ret~-261.69  pl -0.061  vl 18.776  ent 0.348
  upd 495/732  ep_ret~-241.94  pl +0.071  vl 2.137  ent 0.327
  upd 500/732  ep_ret~-366.46  pl +0.104  vl 1.010  ent 0.371
  upd 505/732  ep_ret~-371.29  pl +0.064  vl 0.861  ent 0.319
  upd 510/732  ep_ret~-153.27  pl +0.031  vl 9.990  ent 0.160
  upd 515/732  ep_ret~-147.90  pl -0.002  vl 7.130  ent 0.189
  upd 520/732  ep_ret~-183.10  pl +0.036  vl 4.992  ent 0.200
  upd 525/732  ep_ret~-405.11  pl +0.033  vl 11.806  ent 0.446
  upd 530/732  ep_ret~-233.55  pl +0.058  vl 6.577  ent 0.286
  upd 535/732  ep_ret~-150.14  pl -0.066  vl 12.057  ent 0.261
  upd 540/732  ep_ret~-285.13  pl +0.127  vl 5.274  ent 0.270
  upd 545/732  ep_ret~-182.29  pl -0.115  vl 1.768  ent 0.170
  upd 550/732  ep_ret~-187.73  pl -0.006  vl 16.001  ent 0.263
  upd 555/732  ep_ret~-115.85  pl -0.031  vl 31.035  ent 0.214
  upd 560/732  ep_ret~-154.83  pl +0.004  vl 13.718  ent 0.412
  upd 565/732  ep_ret~-171.12  pl +0.040  vl 14.589  ent 0.190
  upd 570/732  ep_ret~-313.18  pl -0.021  vl 1.076  ent 0.388
  upd 575/732  ep_ret~-442.42  pl +0.007  vl 8.954  ent 0.301
  upd 580/732  ep_ret~-233.36  pl -0.005  vl 8.985  ent 0.343
  upd 585/732  ep_ret~-128.76  pl +0.047  vl 9.401  ent 0.173
  upd 590/732  ep_ret~-126.05  pl +0.020  vl 23.268  ent 0.261
  upd 595/732  ep_ret~-349.84  pl -0.042  vl 12.232  ent 0.437
  upd 600/732  ep_ret~-107.13  pl +0.012  vl 67.912  ent 0.243
  upd 605/732  ep_ret~-244.56  pl -0.023  vl 6.000  ent 0.164
  upd 610/732  ep_ret~-109.60  pl +0.017  vl 21.396  ent 0.266
  upd 615/732  ep_ret~-387.95  pl -0.005  vl 7.524  ent 0.397
